bitrate (kbps), buffer level (secs), throughput (Mbps), segment download time (ms), segment size (bytes) 
1628, 0, NaN, 0
542, 7.275, 0.000359, 0, 363191
542, 66.136, 0.0005345, 5371, 476864
542, 58.176, 0.0005345, 5371, 476864
542, 58.21, 0.00049, 15271, 764850
542, 50.235, 0.00049, 15271, 764850
542, 42.265, 0.00049, 15271, 764850
542, 34.02, 0.00049, 15271, 764850
542, 26.043, 0.00049, 15271, 764850
542, 18.076, 0.00049, 15271, 764850
542, 10.104, 0.00049, 15271, 764850
542, 10.147, 0.00046825, 6061, 305400
542, 10.172, 0.0004558, 2791, 141477
542, 10.297, 0.000403, 7109, 357481
542, 2.343, 0.000403, 7109, 357481
542, 2.289, 0.00040325, 7860, 394752
542, 7.53, 0.000403, 11701, 587283
542, 7.927, 0.000402, 6540, 328820
542, 0.116, 0.000402, 6540, 328820
542, 2.586, 0.000402, 8371, 420840
542, 5.642, 0.000402, 9061, 455479
542, 7.954, 0.000402, 8371, 420671
542, 0.08, 0.000402, 8371, 420671
542, 1.578, 0.000402, 7381, 370711
542, 2.779, 0.000402, 7261, 364964
542, 4.786, 0.000402, 7830, 393930
542, 0.18, 0.000402, 7830, 393930
542, 3.55, 0.00040175, 12780, 641082
542, 6.716, 0.0004015, 9000, 451559
542, 0.149, 0.0004015, 9000, 451559
542, 0.721, 0.0004015, 8101, 407537
542, 5.493, 0.0004015, 10801, 542403
542, 0.08, 0.0004015, 10801, 542403
542, 3.952, 0.0004015, 12092, 606474
542, 5.336, 0.00040175, 7380, 370670
542, 5.63, 0.000402, 6390, 321856
542, 8.015, 0.00040175, 8250, 413866
542, 0.181, 0.00040175, 8250, 413866
542, 6.583, 0.00040175, 12360, 619373
542, 0.151, 0.00040175, 12360, 619373
542, 4.137, 0.0004015, 11460, 574339
542, 5.98, 0.00040125, 8070, 405752
542, 0.084, 0.00040125, 8070, 405752
542, 3.901, 0.00040125, 11821, 592978
542, 0.12, 0.00040125, 11821, 592978
542, 9.104, 0.00040175, 3871, 195188
542, 1.145, 0.00040175, 3871, 195188
542, 2.61, 0.00040175, 9421, 473602
542, 0.08, 0.00040175, 9421, 473602
542, 1.652, 0.00040175, 13050, 654936
542, 0.084, 0.00040175, 13050, 654936
542, 1.22, 0.000402, 13322, 668682
542, 0.186, 0.000402, 13322, 668682
542, 0.218, 0.0004015, 13170, 660602
542, 8.103, 0.00040125, 13651, 684748
542, 0.184, 0.00040125, 13651, 684748
542, 2.273, 0.0004015, 8070, 405275
542, 0.142, 0.0004015, 8070, 405275
542, 2.189, 0.00040125, 14099, 706830
542, 0.119, 0.00040125, 14099, 706830
542, 5.743, 0.00040125, 17401, 871918
542, 0.047, 0.00040125, 17401, 871918
542, 0.047, 0.00040125, 17401, 871918
542, 0.779, 0.00040125, 17010, 852081
542, 0.114, 0.00040125, 17010, 852081
542, 1.818, 0.000401, 14970, 750299
542, 10.269, 0.00040175, 3780, 190441
542, 2.099, 0.00040175, 3780, 190441
542, 2.103, 0.000402, 6901, 347042
542, 2.106, 0.00040225, 7112, 357586
542, 5.538, 0.000402, 9241, 463358
542, 0.118, 0.000402, 9241, 463358
542, 2.004, 0.00040175, 10441, 524076
542, 0.113, 0.00040175, 10441, 524076
542, 4.148, 0.0005172, 11008, 1347055
542, 0.184, 0.0005172, 11008, 1347055
542, 1.322, 0.0006646666666666666, 6358, 1114181
542, 0.051, 0.0006646666666666666, 6358, 1114181
542, 4.702, 0.000627, 17160, 860461
542, 0.141, 0.000627, 17160, 860461
542, 2.738, 0.000627, 12001, 602529
542, 5.557, 0.0006268571428571429, 8610, 431975
542, 0.186, 0.0006268571428571429, 8610, 431975
542, 4.987, 0.0004015, 13381, 671637
542, 0.148, 0.0004015, 13381, 671637
542, 1.284, 0.00040175, 10198, 512016
542, 1.272, 0.00040175, 5369, 270001
542, 1.237, 0.000402, 6511, 327224
542, 1.305, 0.00040225, 5130, 258142
542, 3.695, 0.00040175, 9091, 454657
542, 0.219, 0.00040175, 9091, 454657
542, 0.655, 0.000401, 10921, 544957
542, 5.532, 0.000401, 11041, 554449
542, 0.12, 0.000401, 11041, 554449
542, 2.158, 0.0004005, 10560, 529389
542, 0.124, 0.0004005, 10560, 529389
542, 6.156, 0.00040075, 17850, 894101
542, 0.121, 0.00040075, 17850, 894101
542, 0.121, 0.00040075, 17850, 894101
542, 1.548, 0.0006904, 4407, 1018673
542, 0.164, 0.0006904, 4407, 1018673
542, 6.206, 0.0009196, 5579, 1077578
542, 0.083, 0.0009196, 5579, 1077578
542, 0.083, 0.0009196, 5579, 1077578
542, 1.395, 0.001231, 4079, 998896
542, 4.202, 0.0010926666666666667, 8610, 431979
542, 0.153, 0.0010926666666666667, 8610, 431979
542, 2.665, 0.0012312, 12421, 623406
542, 0.118, 0.0012312, 12421, 623406
542, 5.81, 0.0013496666666666668, 4139, 1004711
542, 0.152, 0.0013496666666666668, 4139, 1004711
542, 0.152, 0.0013496666666666668, 4139, 1004711
542, 2.651, 0.001292, 5788, 1087153
542, 0.115, 0.001292, 5788, 1087153
542, 11.098, 0.0008436666666666666, 1531, 78982
542, 11.07, 0.0009327999999999999, 2611, 132200
542, 11.098, 0.000406, 4230, 213880
542, 5.662, 0.00040875, 1620, 83374
