bitrate (kbps), buffer level (secs), throughput (Mbps), segment download time (ms), segment size (bytes) 
542, 0.631, 3.307912, 1, 542403
542, 180.82, 3.307912, 1, 542403
542, 180.921, 0.000365, 13289, 606474
542, 172.936, 0.000365, 13289, 606474
542, 164.928, 0.000365, 13289, 606474
542, 156.963, 0.000365, 13289, 606474
542, 148.991, 0.000365, 13289, 606474
542, 141.024, 0.000365, 13289, 606474
542, 132.787, 0.000365, 13289, 606474
542, 124.823, 0.000365, 13289, 606474
542, 116.842, 0.000365, 13289, 606474
542, 108.861, 0.000365, 13289, 606474
542, 100.852, 0.000365, 13289, 606474
542, 92.887, 0.000365, 13289, 606474
542, 84.922, 0.000365, 13289, 606474
542, 76.937, 0.000365, 13289, 606474
542, 68.956, 0.000365, 13289, 606474
542, 61, 0.000365, 13289, 606474
542, 53.031, 0.000365, 13289, 606474
542, 44.797, 0.000365, 13289, 606474
542, 36.819, 0.000365, 13289, 606474
542, 28.846, 0.000365, 13289, 606474
542, 20.865, 0.000365, 13289, 606474
542, 12.903, 0.000365, 13289, 606474
542, 4.911, 0.000365, 13289, 606474
542, 4.954, 0.0003835, 7381, 370670
542, 4.95, 0.00039, 6390, 321856
542, 5.638, 0.00039275, 8250, 413866
542, 0.186, 0.00039275, 8250, 413866
542, 3.919, 0.00040175, 12361, 619373
542, 0.151, 0.00040175, 12361, 619373
542, 1.483, 0.0004015, 11461, 574339
542, 3.578, 0.00040125, 8070, 405752
542, 0.084, 0.00040125, 8070, 405752
542, 1.532, 0.00040125, 11820, 592978
542, 6.699, 0.00040125, 11072, 555427
542, 6.72, 0.00040175, 3870, 195188
542, 7.958, 0.00040175, 9421, 473602
542, 0.121, 0.00040175, 9421, 473602
542, 7.013, 0.00040175, 13051, 654936
542, 0.118, 0.00040175, 13051, 654936
542, 6.564, 0.000402, 13322, 668682
542, 0.223, 0.000402, 13322, 668682
542, 5.851, 0.0004015, 13171, 660602
542, 0.16, 0.0004015, 13171, 660602
542, 5.592, 0.00040125, 13651, 684748
542, 7.578, 0.0004015, 8070, 405275
542, 0.148, 0.0004015, 8070, 405275
542, 7.769, 0.00040125, 14101, 706830
542, 0.118, 0.00040125, 14101, 706830
542, 0.118, 0.00040125, 14101, 706830
542, 3.331, 0.00040125, 17401, 871918
542, 0.026, 0.00040125, 17401, 871918
542, 6.309, 0.00040125, 17010, 852081
542, 0.153, 0.00040125, 17010, 852081
542, 7.488, 0.000401, 14970, 750299
542, 7.587, 0.00040125, 6241, 313417
542, 7.606, 0.00040175, 3781, 190441
542, 7.646, 0.000402, 6900, 347042
542, 7.633, 0.00040225, 7111, 357586
542, 0.068, 0.00040225, 7111, 357586
542, 2.864, 0.000402, 9240, 463358
542, 7.576, 0.00040175, 10441, 524076
542, 0.117, 0.00040175, 10441, 524076
542, 0.117, 0.00040175, 10441, 524076
542, 0.117, 0.00040175, 10441, 542, 0.117, 0.00040175, 10441, 542, 1.555, 0.0005172, 11010, 1347055
542, 0.178, 0.0005172, 11010, 1347055
542, 0.178, 0.0005172, 11010, 542, 6.865, 0.0006656666666666666, 6329, 1114181
542, 0.045, 0.0006656666666666666, 6329, 1114181
542, 0.045, 0.0006656666666666666, 6329, 1114181
542, 2.041, 0.0006278571428571429, 17161, 860461
542, 8.072, 0.0006278571428571429, 12001, 602529
542, 0.081, 0.0006278571428571429, 12001, 602529
542, 2.888, 0.0006277142857142857, 8611, 431975
542, 0.181, 0.0006277142857142857, 8611, 431975
542, 2.311, 0.0004015, 13381, 671637
542, 6.571, 0.00040175, 10200, 512016
542, 6.567, 0.00040175, 5371, 270001
542, 6.569, 0.000402, 6512, 327224
542, 6.63, 0.000402, 5131, 258142
542, 0.142, 0.000402, 5131, 258142
542, 0.925, 0.00040175, 9060, 454657
542, 5.877, 0.0004015, 10861, 544957
542, 0.116, 0.0004015, 10861, 544957
542, 2.815, 0.0004015, 11040, 554449
542, 7.688, 0.00040125, 10560, 529389
542, 0.118, 0.00040125, 10560, 529389
542, 0.118, 0.00040125, 10560, 529389
542, 3.537, 0.00040125, 17850, 894101
542, 0.086, 0.00040125, 17850, 894101
542, 0.086, 0.00040125, 17850, 542, 6.89, 0.000688, 4440, 1018673
542, 0.116, 0.000688, 4440, 1018673
542, 0.116, 0.000688, 4440, 1018673
542, 0.116, 0.000688, 4440, 542, 3.472, 0.0009152, 5608, 1077578
542, 0.082, 0.0009152, 5608, 1077578
542, 0.082, 0.0009152, 5608, 542, 6.679, 0.0012326, 4018, 998896
542, 0.08, 0.0012326, 4018, 998896
542, 1.266, 0.001094, 8611, 431979
542, 7.961, 0.0012328, 12421, 623406
542, 0.113, 0.0012328, 12421, 623406
542, 0.113, 0.0012328, 12421, 623406
542, 0.113, 0.0012328, 12421, 542, 3.129, 0.001351, 4138, 1004711
542, 0.13, 0.001351, 4138, 1004711
542, 0.13, 0.001351, 4138, 542, 7.926, 0.0012955, 5789, 1087153
542, 0.114, 0.0012955, 5789, 1087153
542, 0.114, 0.0012955, 5789, 1087153
542, 8.482, 0.0008435, 1530, 78982
542, 8.455, 0.0009326, 2610, 132200
542, 8.466, 0.000406, 4230, 213880
542, 3.038, 0.0004085, 1621, 83374
