bitrate (kbps),buffer level (secs),throughput (Mbps),segment download time (ms),segment size (bytes) ,Time (s)
542,0.631,3.307912,1,542403,8
542,180.82,3.307912,1,542403,16
542,180.921,0.000365,13289,606474,24
542,172.936,0.000365,13289,606474,32
542,164.928,0.000365,13289,606474,40
542,156.963,0.000365,13289,606474,48
542,148.991,0.000365,13289,606474,56
542,141.024,0.000365,13289,606474,64
542,132.787,0.000365,13289,606474,72
542,124.823,0.000365,13289,606474,80
542,116.842,0.000365,13289,606474,88
542,108.861,0.000365,13289,606474,96
542,100.852,0.000365,13289,606474,104
542,92.887,0.000365,13289,606474,112
542,84.922,0.000365,13289,606474,120
542,76.937,0.000365,13289,606474,128
542,68.956,0.000365,13289,606474,136
542,61,0.000365,13289,606474,144
542,53.031,0.000365,13289,606474,152
542,44.797,0.000365,13289,606474,160
542,36.819,0.000365,13289,606474,168
542,28.846,0.000365,13289,606474,176
542,20.865,0.000365,13289,606474,184
542,12.903,0.000365,13289,606474,192
542,4.911,0.000365,13289,606474,200
542,4.954,0.0003835,7381,370670,208
542,4.95,0.00039,6390,321856,216
542,5.638,0.00039275,8250,413866,224
542,0.186,0.00039275,8250,413866,232
542,3.919,0.00040175,12361,619373,240
542,0.151,0.00040175,12361,619373,248
542,1.483,0.0004015,11461,574339,256
542,3.578,0.00040125,8070,405752,264
542,0.084,0.00040125,8070,405752,272
542,1.532,0.00040125,11820,592978,280
542,6.699,0.00040125,11072,555427,288
542,6.72,0.00040175,3870,195188,296
542,7.958,0.00040175,9421,473602,304
542,0.121,0.00040175,9421,473602,312
542,7.013,0.00040175,13051,654936,320
542,0.118,0.00040175,13051,654936,328
542,6.564,0.000402,13322,668682,336
542,0.223,0.000402,13322,668682,344
542,5.851,0.0004015,13171,660602,352
542,0.16,0.0004015,13171,660602,360
542,5.592,0.00040125,13651,684748,368
542,7.578,0.0004015,8070,405275,376
542,0.148,0.0004015,8070,405275,384
542,7.769,0.00040125,14101,706830,392
542,0.118,0.00040125,14101,706830,400
542,0.118,0.00040125,14101,706830,408
542,3.331,0.00040125,17401,871918,416
542,0.026,0.00040125,17401,871918,424
542,6.309,0.00040125,17010,852081,432
542,0.153,0.00040125,17010,852081,440
542,7.488,0.000401,14970,750299,448
542,7.587,0.00040125,6241,313417,456
542,7.606,0.00040175,3781,190441,464
542,7.646,0.000402,6900,347042,472
542,7.633,0.00040225,7111,357586,480
542,0.068,0.00040225,7111,357586,488
542,2.864,0.000402,9240,463358,496
542,7.576,0.00040175,10441,524076,504
542,0.117,0.00040175,10441,524076,512
542,0.117,0.00040175,10441,524076,520
542,1.555,0.0005172,11010,1347055,528
542,0.178,0.0005172,11010,1347055,536
542,6.865,0.000665667,6329,1114181,544
542,0.045,0.000665667,6329,1114181,552
542,0.045,0.000665667,6329,1114181,560
542,2.041,0.000627857,17161,860461,568
542,8.072,0.000627857,12001,602529,576
542,0.081,0.000627857,12001,602529,584
542,2.888,0.000627714,8611,431975,592
542,0.181,0.000627714,8611,431975,600
542,2.311,0.0004015,13381,671637,608
542,6.571,0.00040175,10200,512016,616
542,6.567,0.00040175,5371,270001,624
542,6.569,0.000402,6512,327224,632
542,6.63,0.000402,5131,258142,640
542,0.142,0.000402,5131,258142,648
542,0.925,0.00040175,9060,454657,656
542,5.877,0.0004015,10861,544957,664
542,0.116,0.0004015,10861,544957,672
542,2.815,0.0004015,11040,554449,680
542,7.688,0.00040125,10560,529389,688
542,0.118,0.00040125,10560,529389,696
542,0.118,0.00040125,10560,529389,704
542,3.537,0.00040125,17850,894101,712
542,0.086,0.00040125,17850,894101,720
542,6.89,0.000688,4440,1018673,728
542,0.116,0.000688,4440,1018673,736
542,0.116,0.000688,4440,1018673,744
542,3.472,0.0009152,5608,1077578,752
542,0.082,0.0009152,5608,1077578,760
542,6.679,0.0012326,4018,998896,768
542,0.08,0.0012326,4018,998896,776
542,1.266,0.001094,8611,431979,784
542,7.961,0.0012328,12421,623406,792
542,0.113,0.0012328,12421,623406,800
542,0.113,0.0012328,12421,623406,808
542,3.129,0.001351,4138,1004711,816
542,0.13,0.001351,4138,1004711,824
542,7.926,0.0012955,5789,1087153,832
542,0.114,0.0012955,5789,1087153,840
542,0.114,0.0012955,5789,1087153,848
542,8.482,0.0008435,1530,78982,856
542,8.455,0.0009326,2610,132200,864
542,8.466,0.000406,4230,213880,872
542,3.038,0.0004085,1621,83374,880
