bitrate (kbps),buffer level (secs),throughput (Mbps),segment download time (ms),segment size (bytes) 
1628, 64.356, 6.755782, 2, 1116470
1628, 64.298, 6.436653333333333, 2, 1409680
1628, 64.337, 6.759498285714286, 2, 2174142
1628, 64.357, 6.247868, 1, 916222
1628, 64.478, 5.705767333333333, 1, 374408
1628, 64.144, 5.496564, 2, 1060336
1628, 64.276, 5.9547545, 1, 1145261
1628, 64.268, 6.784445777777778, 1, 1677747
1628, 64.264, 6.513859200000001, 2, 1019645
1628, 64.264, 6.845310545454546, 1, 1269978
1628, 64.34, 6.768109, 2, 1479723
1628, 64.329, 6.914004615384615, 1, 1083094
1628, 64.388, 7.168646153846154, 1, 1052342
1628, 64.434, 7.592106666666667, 1, 1002185
1628, 64.16, 8.448658, 1, 1086708
1628, 64.184, 9.5210592, 1, 1726333
1628, 64.29, 8.84223, 2, 1362021
1628, 64.257, 8.996749142857144, 1, 1240483
1628, 64.277, 8.5931375, 2, 1441964
1628, 64.412, 8.129125222222221, 3, 1656385
1628, 64.372, 8.3177919, 1, 1251974
1628, 64.439, 8.2480239, 1, 995884
1628, 64.241, 7.962777363636364, 2, 1277578
1628, 64.169, 7.7978879090909095, 2, 1651238
1628, 64.311, 7.295228799999999, 2, 1694504
1628, 64.247, 6.869866666666667, 2, 1185764
1628, 64.251, 6.941889142857143, 2, 1843506
1628, 64.277, 6.223711333333333, 2, 1682977
1628, 64.373, 6.293182, 1, 690892
1628, 64.32, 6.212067, 2, 1303800
1628, 64.308, 5.466152, 4, 2195182
1628, 64.448, 5.9125568, 2, 1924544
1628, 64.463, 5.785489833333333, 3, 1931308
1628, 64.425, 5.5274625, 3, 1943904
1628, 64.434, 5.167358, 3, 1127524
1628, 64.441, 5.21402125, 3, 2077749
1628, 64.15, 5.13913425, 4, 2464020
1628, 64.216, 4.860631333333333, 4, 2677227
1628, 64.272, 5.445877142857142, 2, 2239338
1628, 64.254, 5.279679, 2, 1029073
1628, 64.252, 5.5767896666666665, 1, 570492
1628, 64.266, 5.958059714285715, 1, 1030710
1628, 64.337, 6.273444857142858, 1, 968545
1628, 64.396, 6.14527375, 2, 1312019
1628, 64.373, 5.924367333333333, 2, 1405965
1628, 64.454, 6.548533857142857, 3, 3860075
1628, 64.375, 6.507170125, 4, 3108812
1628, 64.209, 6.837545444444444, 2, 2370137
1628, 64.231, 6.570982099999999, 3, 1564467
1628, 64.27, 6.843962333333333, 2, 1141517
1628, 64.241, 6.8160137999999995, 3, 2461679
1628, 64.271, 6.541902, 2, 1677755
1628, 64.263, 5.6263994, 0, 764815
1628, 64.403, 6.018318166666667, 1, 997239
1628, 64.402, 6.892027400000001, 1, 886026
1628, 64.347, 6.612904166666667, 2, 1304322
1628, 64.366, 6.250813166666667, 3, 1646974
1628, 64.385, 7.217866142857143, 1, 1627523
1628, 64.151, 7.113355875, 2, 1595446
1628, 64.175, 7.314264857142858, 3, 2670955
1628, 64.173, 7.432036166666667, 3, 3171931
1628, 64.246, 7.123538, 4, 3265669
1628, 64.321, 7.4352384, 3, 3255765
1628, 64.356, 7.208748666666667, 2, 1519075
1628, 64.253, 7.326421714285715, 2, 2008115
1628, 64.286, 7.839440714285715, 3, 3739844
1628, 64.32, 7.816996875, 4, 3829945
1628, 64.377, 8.1018585, 2, 2350360
1628, 64.443, 7.366625333333333, 0, 185595
1628, 64.251, 6.9319004, 0, 377422
1628, 64.17, 6.753109454545454, 1, 620650
1628, 58.678, 6.347469666666667, 1, 235679
1628, 50.71, 6.347469666666667, 1, 235679
1628, 42.687, 6.347469666666667, 1, 235679
1628, 34.726, 6.347469666666667, 1, 235679
1628, 26.755, 6.347469666666667, 1, 235679
1628, 18.761, 6.347469666666667, 1, 235679
1628, 10.797, 6.347469666666667, 1, 235679
1628, 2.833, 6.347469666666667, 1, 235679
